BLQ-st,Project Name,Address,BLQ - Ward,Legistar File ID,Agenda Number
281-36,"Metamorphosis Development Enterprise, LLC",365 S 8TH ST,Central,180712,7R2-b 120518
1790.01-11,Auc 11/2/17 - 322-324 Grove St.,322-324 GROVE ST,West,17-1940,7R2-B 120617
3041-39,"Saint Holdings of New Jersey, LLC",33-35 RANDOLPH PL,SOUTH,21-1746,7R2-b 120722
290-17,"Carlos Lopes Investments, LLC",397 S 8TH ST,Central,20-1261,7R2-b 121521
283-14,"Carlos Lopes Investments, LLC",409 S 10TH ST,Central,"	20-1261",7R2-b 121521
2620-25,"Cornerstone Capital Investments Newark, LLC",22 PIERCE ST,SOUTH,22-1298,7R2-b 122122
1827-20,James Sherrills,117 S 9TH ST,West,17-0034,7R2-b(s) 022217
2635-9,"Shanley Ave Group, LLC",735 S 15TH ST,South,17-0065,7R2-b(s) 030717
4223-8,"DS Real Estate Investors, LLC",124 N MUNN AVE,WEST,18-0793,7R2-b(s) 061819
2518-1,Aim Steel - Springfield Ave.,285 SPRINGFIELD AVE,CENTRAL,16-1127,7R2-b(s) 112916
318-8,432-446 South Orange Ave LLC,432-434 SOUTH ORANGE AVE,WEST,17-1839,7R2-B(S/AS) 112117
2518-7,269,269-273 SPRINGFIELD AVE,CENTRAL,20-0099,7R2-b(s/as)012820
2853-29,Gomes and Gomes Development ,266 ORANGE ST,Central,17-1895,7R2-c
316-30,"Essex Car Wash and Auto Repairs, Inc",650-652 S 13TH,SOUTH,21-1747 ,7R2-c (s)
1799-14,"Dc Essex Investments, LLC",165 S 7TH ST,West,20-1185,7R2-c (s) 051121
1793-47,Ashley Taylor,316 S 19TH ST,WEST,21-0943,7R2-c (s) 052422
1878-27,"131-133 Highland Avenue, LLC ",37 3RD ST,Central,20-1659,7R2-c (s) 052521
308-29,Luvander Hollaway ,12 BELGIUM ST,Central,19-0586,7R2-c (s) 061819
1886-29,Fresh Tone Homes LLC,102-104 4TH ST,West,18-0947,7R2-c (s) 070219
1929-3,Roxanna Castro-Ortiz,278 N 7TH ST,Central,20-0264,7R2-c (s) 081120
328-19,,467-469 S 15TH,West,21-0021,7R2-C (S) 081721
1791-25,"503 South Orange Avenue, LLC",505 SOUTH ORANGE AVE,West,20-0620,7R2-c (s) 092220
336-31,"IMTAD, LLC",305 16TH AVE,WEST,22-0916,7R2-c (s) 112222
262-19,"Blackmon Homes, LLC",192 FAIRMOUNT AVE,West,21-0889,7R2-c (s) 122121
2692-19,"Teicher Group, LLC",133-135 RIDGEWOOD AVE,SOUTH,20-0597,7R2-c 020321
1904-17,"Warwick 1300, LLC",51 GRAY ST,WEST,21-0910,7R2-c 031622
3782-109,3J's Dvelopment Group LLC,646-696 FRELINGHUYSEN R,SOUTH,17-1602,7R2-c 040418
2612-44,"Rose Cap Holdings, LLC",287- ROSE ST,CENTRAL,22-1321,7R2-c 040523
2662-27,PM Consulting Group,183 JELLIFF AVE,SOUTH,16-1917,7R2-c 041917
2680-38,"144 Badger Ave, LLC",34 MADISON AVE,SOUTH,20-0859,7R2-c 050422
1793-1,"S.G. Global Enterprise, LLC",291 S 18TH ST,West,19-1356,7R2-c 050620
3703-16,"DLAM Community Development, LLC",158-164 CHANCELLOR AVE,South,19-1325,7R2-c 052020
4061-111,"Columbia Ave Transitions, LLC ",69 SUNSET AVE,West,19-1550,7R2-c 061020
2707-46,"AC Eagle Development, LLC",740 BERGEN ST,South,20-1186,7R2-c 070821
328-40,Rising Plains,470 S 16TH ST,West,17-1708,7R2-C 071118
328-27,Rising Plains ,582 15TH AVE,West,17-1708 ,7R2-C 071118
